URL,TTL,Response_Message
cntv.cn,0,"traceroute to cntv.cn (202.108.8.151), 30 hops max, 60 byte packets
"
cntv.cn,1," 1  45.9.236.1.deltahost-ptr (45.9.236.1)  0.921 ms  0.949 ms  0.977 ms
"
cntv.cn,2," 2  kiev-nt-b1-ae8-vlan1384.fiord.net (62.140.243.0)  0.513 ms  0.498 ms  0.543 ms
"
cntv.cn,3," 3  frankfurt-nt-b1-ae5-vlan2036.fiord.net (62.140.243.22)  28.857 ms  28.639 ms  26.117 ms
"
cntv.cn,4," 4  ae7-1245.cr1-fra6.ip4.gtt.net (46.33.79.153)  31.529 ms  30.654 ms  31.501 ms
"
cntv.cn,5," 5  et-0-0-67.cr4-lax2.ip4.gtt.net (89.149.140.77)  172.708 ms  172.704 ms  175.667 ms
"
cntv.cn,6," 6  as4837.lax21.ip4.gtt.net (173.205.56.186)  173.756 ms as4837.cr4-lax2.ip4.gtt.net (199.229.231.206)  170.332 ms as4837.cr4-lax2.ip4.gtt.net (199.229.231.210)  174.248 ms
"
cntv.cn,7," 7  219.158.96.233 (219.158.96.233)  339.411 ms  338.864 ms  338.670 ms
"
cntv.cn,8," 8  219.158.96.206 (219.158.96.206)  344.006 ms  343.102 ms  340.642 ms
"
cntv.cn,9," 9  219.158.103.41 (219.158.103.41)  342.668 ms  342.587 ms  339.448 ms
"
cntv.cn,10,"10  219.158.19.225 (219.158.19.225)  339.264 ms 219.158.15.37 (219.158.15.37)  342.350 ms  341.259 ms
"
cntv.cn,11,"11  * * *
"
cntv.cn,12,"12  124.65.194.22 (124.65.194.22)  336.138 ms 61.149.203.46 (61.149.203.46)  343.880 ms 124.65.194.154 (124.65.194.154)  343.873 ms
"
cntv.cn,13,"13  61.149.202.193 (61.149.202.193)  343.844 ms 61.148.143.22 (61.148.143.22)  340.181 ms 61.149.202.129 (61.149.202.129)  351.999 ms
"
cntv.cn,14,"14  61.49.42.130 (61.49.42.130)  340.549 ms  342.193 ms  341.900 ms
"
cntv.cn,15,"15  61.49.42.130 (61.49.42.130)  340.610 ms  345.485 ms zz-8-151-a8.bta.net.cn (202.108.8.151)  335.861 ms
"
cntv.cn,16,"16  zz-8-151-a8.bta.net.cn (202.108.8.151)  338.969 ms  333.127 ms  340.925 ms
"
